Atomic Number	Element Name	Symbol	Mass of Atom (u)	Abundance (%)	See: http://www.chem.ualberta.ca/~massspec/atomic_mass_abund.pdf
85	Astatine	210At	209.987131	0.0000	
86	Radon	222Rn	222.017570	0.0000	
87	Francium	223Fr	223.019731	0.0000	
88	Radium	226Ra	226.025403	0.0000	
89	Actinium	227Ac	227.027747	0.0000	
90	Thorium	232Th	232.038050	100.0000	
91	Protactinium	231Pa	231.035879	100.0000	
92	Uranium	234U	234.040946	0.0055	
		235U	235.043923	0.7200	
		238U	238.050783	99.2745	
93	Neptunium	237Np	237.048167	0.0000	
94	Plutonium	244Pu	244.064198	0.0000	
95	Americium	243:00:00	243.061373	0.0000	
96	Curium	247Cm	247.070347	0.0000	
97	Berkelium	247Bk	247.070299	0.0000	
98	Californium	251Cf	251.079580	0.0000	
99	Einsteinium	252Es	252.082972	0.0000	
100	Fermium	257Fm	257.095099	0.0000	
101	Mendelevium	258Md	258.098425	0.0000	
102	Nobelium	259No	259.101024	0.0000	
103	Lawrencium	262Lr	262.109692	0.0000	
104	Rutherfordium	263Rf	263.118313	0.0000	
105	Dubnium	262Db	262.011437	0.0000	
106	Seaborgium	266Sg	266.012238	0.0000	
107	Bohrium	264Bh	264.012496	0.0000	
108	Hassium	269Hs	269.001341	0.0000	
109	Meitnerium	268Mt	268.001388	0.0000	
110	Ununnilium	272Uun	272.001463	0.0000	
111	Unununium	272Uuu	272.001535	0.0000	
112	Ununbium	277Uub	277.000000	0.0000	
114	Ununquadium	289Uuq	289.000000	0.0000	
116	Ununhexium	289Uuh	289.000000	0.0000	
118	Ununoctium	293Uuo	293.000000	0.0000	
